UF,MUNICIPIO_DESCRICAO,Demais,EPP,ME,MEI
CE,Itarema,111,35,671,799
CE,Itatira,19,8,287,248
CE,Jaguaretama,27,12,237,351
CE,Jaguaribara,19,15,187,282
CE,Jaguaribe,80,80,801,966
CE,Jaguaruana,71,41,765,762
CE,Jardim,11,22,354,326
CE,Jati,13,2,82,144
CE,Jijoca de Jericoacoara,118,66,1120,1764
CE,Juazeiro do Norte,1091,858,8533,12022
CE,Jucás,34,20,321,422
CE,Lavras da Mangabeira,30,11,382,352
CE,Limoeiro do Norte,225,133,1618,2442
CE,Madalena,22,9,312,212
CE,Maracanaú,1487,515,5476,9985
CE,Maranguape,316,140,1711,3133
CE,Marco,70,27,549,569
CE,Martinópole,11,9,127,269
CE,Massapê,39,17,505,762
CE,Mauriti,70,34,634,640
CE,Meruoca,13,14,253,409
CE,Milagres,48,23,308,382
CE,Milhã,14,11,186,282
CE,Miraíma,9,3,77,160
CE,Missão Velha,38,25,430,446
CE,Mombaça,63,41,533,626
CE,Monsenhor Tabosa,12,19,207,291
CE,Morada Nova,118,72,1082,1439
CE,Moraújo,9,2,68,174
CE,Morrinhos,16,5,365,547
CE,Mucambo,18,5,166,358
CE,Mulungu,10,10,130,207
CE,Nova Olinda,22,12,251,268
CE,Nova Russas,55,37,635,1253
CE,Novo Oriente,27,14,417,478
CE,Ocara,25,23,278,703
CE,Orós,28,6,285,398
CE,Pacajus,199,143,1280,2788
CE,Pacatuba,180,96,1197,2749
CE,Pacoti,17,8,172,279
CE,Pacujá,5,4,101,278
CE,Palhano,14,8,123,279
CE,Palmácia,11,4,100,197
CE,Paracuru,106,55,816,1431
CE,Paraipaba,74,32,617,846
CE,Parambu,31,15,295,657
CE,Paramoti,5,4,128,212
CE,Pedra Branca,43,26,527,814
CE,Penaforte,13,14,138,170
CE,Pentecoste,47,43,521,853
CE,Pereiro,37,17,162,226
CE,Pindoretama,51,33,507,753
CE,Piquet Carneiro,13,9,154,312
CE,Pires Ferreira,4,5,93,161
CE,Poranga,9,6,120,209
CE,Porteiras,12,9,172,208
CE,Potengi,10,4,125,139
CE,Potiretama,7,4,66,108
CE,Quiterianópolis,19,7,214,341
CE,Quixadá,206,158,1384,2558
CE,Quixelô,15,15,190,160
CE,Quixeramobim,148,87,1089,1990
CE,Quixeré,74,35,362,651
CE,Redenção,36,17,336,671
CE,Reriutaba,9,27,355,478
CE,Russas,212,133,1686,3035
CE,Saboeiro,11,5,130,139
CE,Salitre,11,3,174,133
CE,Santa Quitéria,81,48,947,989
CE,Santana do Acaraú,46,8,338,403
CE,Santana do Cariri,13,7,116,178
CE,São Benedito,80,78,932,1582
CE,São Gonçalo do Amarante,295,85,1201,1761
CE,São João do Jaguaribe,6,4,83,77
CE,São Luís do Curu,25,10,106,275
CE,Senador Pompeu,42,28,364,519
CE,Senador Sá,5,1,110,192
CE,Sobral,712,378,5054,7992
CE,Solonópole,32,22,276,354
CE,Tabuleiro do Norte,68,90,632,976
CE,Tamboril,14,12,285,432
CE,Tarrafas,7,5,85,113
CE,Tauá,149,54,1060,2026
CE,Tejuçuoca,12,5,143,300
CE,Tianguá,214,190,2260,3196
CE,Trairi,190,60,957,1082
CE,Tururu,14,5,118,316
CE,Ubajara,72,50,584,979
CE,Umari,2,2,52,92
CE,Umirim,22,7,138,285
CE,Uruburetama,28,9,234,526
CE,Uruoca,17,11,155,252
CE,Varjota,47,28,475,694
CE,Várzea Alegre,48,72,653,995
CE,Viçosa do Ceará,46,75,765,1244
MA,Totais,15545,18820,126028,131026
MA,Açailândia,356,325,2607,2689
MA,Afonso Cunha,7,6,45,42
MA,Água Doce do Maranhão,4,16,91,137
MA,Alcântara,9,20,134,216
MA,Aldeias Altas,29,20,131,181
MA,Altamira do Maranhão,3,4,61,46
MA,Alto Alegre do Maranhão,30,44,265,226
MA,Alto Alegre do Pindaré,12,28,190,291
MA,Alto Parnaíba,44,74,248,210
MA,Amapá do Maranhão,4,9,73,80
MA,Amarante do Maranhão,21,34,316,375
MA,Anajatuba,13,15,206,196
MA,Anapurus,22,39,211,138
MA,Apicum-Açu,4,10,166,155
MA,Araguanã,4,6,67,56
MA,Araioses,19,27,301,356
MA,Arame,18,19,271,186
MA,Arari,28,33,365,333
MA,Axixá,9,32,94,95
MA,Bacabal,234,208,2314,2066
MA,Bacabeira,53,41,291,217
MA,Bacuri,15,13,132,136
MA,Bacurituba,1,3,25,34
MA,Balsas,821,1056,3444,2785
MA,Barão de Grajaú,31,50,250,330
