,UF,MUNICIPIO_DESCRICAO,Demais,EPP,ME,MEI
251,BA,Ibicoara,39,43,634,467
252,BA,Ibicuí,14,28,223,297
253,BA,Ibipeba,29,14,184,155
254,BA,Ibipitanga,11,22,256,236
255,BA,Ibiquera,4,4,38,39
256,BA,Ibirapitanga,21,20,206,379
257,BA,Ibirapuã,26,25,122,290
258,BA,Ibirataia,12,24,258,443
259,BA,Ibitiara,19,29,179,275
260,BA,Ibititá,14,13,172,155
261,BA,Ibotirama,80,74,883,707
262,BA,Ichu,5,13,81,194
263,BA,Igaporã,35,41,209,327
264,BA,Igrapiúna,18,6,104,218
265,BA,Iguaí,24,35,325,482
266,BA,Ilhéus,781,466,5069,10371
267,BA,Inhambupe,68,53,584,787
268,BA,Ipecaetá,5,4,66,98
269,BA,Ipiaú,131,143,1406,1441
270,BA,Ipirá,122,92,1004,1780
271,BA,Ipupiara,23,10,235,189
272,BA,Irajuba,5,6,57,114
273,BA,Iramaia,18,18,113,145
274,BA,Iraquara,28,35,368,443
275,BA,Irará,41,60,429,696
276,BA,Irecê,379,341,3388,2201
277,BA,Itabela,70,81,634,832
278,BA,Itaberaba,204,155,1729,2314
279,BA,Itabuna,1053,755,7701,11444
280,BA,Itacaré,67,49,987,1439
281,BA,Itaeté,17,11,164,253
282,BA,Itagi,12,28,117,212
283,BA,Itagibá,36,27,216,472
284,BA,Itagimirim,35,12,133,188
285,BA,Itaguaçu da Bahia,435,14,135,91
286,BA,Itaju do Colônia,14,13,68,121
287,BA,Itajuípe,32,25,267,792
288,BA,Itamaraju,145,247,1556,2320
289,BA,Itamari,8,5,79,153
290,BA,Itambé,28,29,281,695
291,BA,Itanagra,16,14,128,173
292,BA,Itanhém,22,40,312,646
293,BA,Itaparica,30,10,235,686
294,BA,Itapé,5,28,175,286
295,BA,Itapebi,24,7,113,196
296,BA,Itapetinga,173,131,1902,2362
297,BA,Itapicuru,21,73,255,237
298,BA,Itapitanga,4,3,77,248
299,BA,Itaquara,4,6,61,121
300,BA,Itarantim,39,29,322,543
301,BA,Itatim,42,67,383,440
302,BA,Itiruçu,16,20,167,351
303,BA,Itiúba,19,80,243,672
304,BA,Itororó,26,23,466,558
305,BA,Ituaçu,17,22,372,506
306,BA,Ituberá,59,43,524,927
307,BA,Iuiú,8,17,128,121
308,BA,Jaborandi,96,11,197,107
309,BA,Jacaraci,6,17,158,225
310,BA,Jacobina,267,277,2522,3912
311,BA,Jaguaquara,114,131,1134,1898
312,BA,Jaguarari,79,97,549,984
313,BA,Jaguaripe,17,12,126,314
314,BA,Jandaíra,22,21,177,138
315,BA,Jequié,537,488,4220,6480
316,BA,Jeremoabo,45,36,487,710
317,BA,Jiquiriça,15,26,158,409
318,BA,Jitaúna,18,27,193,237
319,BA,João Dourado,46,29,436,339
320,BA,Juazeiro,972,1091,5431,8090
321,BA,Jucuruçu,7,4,90,132
322,BA,Jussara,9,16,236,122
323,BA,Jussari,10,4,84,222
324,BA,Jussiape,3,22,90,160
325,BA,Lafaiete Coutinho,3,5,57,81
326,BA,Lagoa Real,13,10,154,157
327,BA,Laje,18,28,209,421
328,BA,Lajedão,8,14,60,99
329,BA,Lajedinho,10,6,35,57
330,BA,Lajedo do Tabocal,5,10,85,156
331,BA,Lamarão,6,5,63,76
332,BA,Lapão,30,37,360,327
333,BA,Lauro de Freitas,2026,2068,13534,16308
334,BA,Lençóis,32,48,317,599
335,BA,Licínio de Almeida,38,21,286,416
336,BA,Livramento de Nossa Senhora,82,138,1274,1844
337,BA,Luís Eduardo Magalhães,1285,1021,6689,6775
338,BA,Macajuba,5,4,135,187
339,BA,Macarani,14,29,225,366
340,BA,Macaúbas,44,82,761,918
341,BA,Macururé,10,18,73,69
342,BA,Madre de Deus,28,34,547,711
343,BA,Maetinga,5,12,81,179
344,BA,Maiquinique,16,8,177,206
345,BA,Mairi,14,17,242,334
346,BA,Malhada,14,10,135,224
347,BA,Malhada de Pedras,6,18,140,219
348,BA,Manoel Vitorino,21,16,150,251
349,BA,Mansidão,14,6,115,98
350,BA,Maracás,38,114,672,647
351,BA,Maragogipe,41,64,311,650
352,BA,Maraú,104,82,699,1044
353,BA,Marcionílio Souza,13,15,119,151
354,BA,Mascote,12,9,167,250
355,BA,Mata de São João,256,96,1325,2602
356,BA,Matina,4,11,88,115
